id,name
thomasfleet.brand_corbeil,Corbeil
thomasfleet.brand_international,International
thomasfleet.brand_gmc,GMC
thomasfleet.brand_wstrn,Wstrn
thomasfleet.brand_freightliner,Freightliner
thomasfleet.brand_mack,Mack
thomasfleet.brand_thruway,Thruway
thomasfleet.brand_manac,Manac
thomasfleet.brand_util,Util
thomasfleet.brand_hillsborough,Hillsborough
thomasfleet.brand_durabody,Durabody
thomasfleet.brand_titan,Titan
thomasfleet.brand_trai,Trai
thomasfleet.brand_tridem,Tridem
thomasfleet.brand_wilson,Wilson
thomasfleet.brand_trans,Trans
thomasfleet.brand_western_star,Western Star
thomasfleet.brand_wabash,Wabash
thomasfleet.brand_autocar,Autocar / Volvo
thomasfleet.brand_tbd,TBD
thomasfleet.brand_international,International
thomasfleet.brand_big_tex,Big Tex
thomasfleet.brand_american_hauler,American Hauler
thomasfleet.brand_freightliner,Freightliner
thomasfleet.brand_sterling_truck,Sterling Truck
thomasfleet.brand_walinga,Walinga
thomasfleet.brand_nando,Nando
thomasfleet.brand_seadoo,Seadoo
thomasfleet.brand_shorelander,Shorelander
thomasfleet.brand_cf_moto,CF Moto
thomasfleet.brand_can_am,Can AM